Финансирование,Результативность НИР,Квалификация исполнителей,Новизна результатов,Готовность результатов,Новые дисциплины,Учебная продукция
30400.102,412.484,3,2,Частичная,Технические,Лабораторное оборудование
8309.535,188.744,3,3,Малая,Технические,Лабораторное оборудование
5548.215,177.159,2,2,Малая,Технические,Лабораторное оборудование
19120.874,336.737,3,2,Малая,Технические,Литература
23398.968,318.139,2,3,Частичная,Гуманитарные,Лабораторное оборудование
56241.922,417.919,3,3,Частичная,Гуманитарные,Лабораторное оборудование
55856.093,251.017,3,2,Частичная,Гуманитарные,Литература
33112.323,401.548,3,3,Частичная,Технические,Лабораторное оборудование
63833.303,420.982,3,3,Частичная,Технические,Лабораторное оборудование
47196.84,364.257,5,4,Частичная,Технические,Лабораторное оборудование
49228.805,388.954,4,3,Частичная,Гуманитарные,Лабораторное оборудование
68322.693,463.979,3,4,Есть опытные образцы,Гуманитарные,Литература
63517.739,327.946,2,3,Малая,Технические,Литература
21025.916,273.005,2,3,Отсутствует,Гуманитарные,Литература
63095.286,427.672,3,3,Частичная,Гуманитарные,Литература
69233.279,510.744,4,3,Частичная,Гуманитарные,Лабораторное оборудование
60073.519,378.984,4,4,Частичная,Гуманитарные,Литература
44343.581,285.151,2,2,Малая,Технические,Лабораторное оборудование
49987.042,497.883,3,4,Частичная,Гуманитарные,Лабораторное оборудование
47990.41,342.287,4,3,Малая,Гуманитарные,Лабораторное оборудование
68006.329,418.17,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
62622.139,378.477,3,2,Частичная,Гуманитарные,Лабораторное оборудование
25503.422,453.005,3,4,Малая,Гуманитарные,Литература и оборудование
7595.656,287.306,3,2,Малая,Гуманитарные,Лабораторное оборудование
16281.171,311.999,2,2,Малая,Технические,Лабораторное оборудование
21519.764,414.015,3,3,Малая,Гуманитарные,Лабораторное оборудование
58642.366,473.702,5,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
45338.083,374.503,4,2,Частичная,Гуманитарные,Лабораторное оборудование
54348.813,461.4,4,2,Частичная,Гуманитарные,Литература и оборудование
4209.313,314.804,2,2,Малая,Технические,Лабораторное оборудование
43547.44,357.406,4,3,Частичная,Технические,Лабораторное оборудование
35881.657,340.693,2,2,Малая,Отсутствуют,Лабораторное оборудование
34307.014,310.498,3,4,Малая,Технические,Лабораторное оборудование
12091.694,291.534,2,3,Частичная,Технические,Литература
19507.465,365.677,3,4,Частичная,Гуманитарные,Лабораторное оборудование
36126.758,368.212,3,4,Частичная,Гуманитарные,Лабораторное оборудование
60718.233,383.499,3,4,Частичная,Гуманитарные,Лабораторное оборудование
60972.227,452.211,4,3,Частичная,Гуманитарные,Лабораторное оборудование
3014.126,372.155,4,3,Частичная,Гуманитарные,Лабораторное оборудование
14790.381,235.662,2,2,Отсутствует,Гуманитарные,Лабораторное оборудование
4931.791,240.338,2,3,Малая,Технические,Лабораторное оборудование
63156.558,546.23,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
13690.38,365.863,4,3,Частичная,Гуманитарные,Лабораторное оборудование
29206.271,354.829,4,2,Малая,Технические,Отсутствует
41498.332,383.722,3,2,Малая,Технические,Литература
45353.234,387.184,3,2,Частичная,Гуманитарные,Лабораторное оборудование
29745.784,306.152,2,3,Малая,Технические,Литература
41818.32,394.521,3,3,Частичная,Гуманитарные,Лабораторное оборудование
68880.298,530.59,4,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
40848.474,342.915,4,4,Частичная,Технические,Лабораторное оборудование
31922.202,390.417,3,3,Частичная,Гуманитарные,Лабораторное оборудование
24577.396,228.107,3,3,Частичная,Технические,Лабораторное оборудование
51310.494,320.233,3,2,Малая,Технические,Лабораторное оборудование
42842.935,334.401,3,3,Частичная,Технические,Лабораторное оборудование
44474.854,308.767,3,3,Частичная,Технические,Лабораторное оборудование
28608.607,279.638,3,3,Малая,Технические,Литература
48356.443,319.127,3,3,Частичная,Технические,Лабораторное оборудование
33322.77,300.38,3,3,Частичная,Гуманитарные,Лабораторное оборудование
18784.874,180.939,1,3,Отсутствует,Технические,Литература
61541.703,435.388,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
17522.202,181.831,2,2,Малая,Технические,Литература
33602.185,359.736,4,4,Частичная,Гуманитарные,Лабораторное оборудование
51636.167,536.24,4,5,Есть опытные образцы,Гуманитарные,Литература и оборудование
24882.491,423.831,3,2,Частичная,Технические,Лабораторное оборудование
36050.612,357.102,3,3,Малая,Технические,Литература
13329.042,314.091,4,3,Частичная,Гуманитарные,Лабораторное оборудование
51977.987,287.894,2,2,Малая,Технические,Литература
3438.501,369.529,3,4,Частичная,Гуманитарные,Лабораторное оборудование
20272.853,370.39,4,3,Малая,Технические,Лабораторное оборудование
35087.341,314.481,3,4,Малая,Технические,Лабораторное оборудование
31147.526,353.371,4,3,Частичная,Гуманитарные,Литература
55281.011,393.771,2,4,Малая,Технические,Литература
29837.843,461.081,4,4,Частичная,Гуманитарные,Лабораторное оборудование
17840.956,320.281,3,3,Малая,Технические,Лабораторное оборудование
51278.193,398.88,3,3,Частичная,Технические,Лабораторное оборудование
31775.051,306.707,4,3,Частичная,Технические,Лабораторное оборудование
5525.404,279.541,2,4,Малая,Гуманитарные,Лабораторное оборудование
40225.466,420.86,3,4,Частичная,Гуманитарные,Лабораторное оборудование
21234.252,428.674,3,4,Частичная,Гуманитарные,Лабораторное оборудование
19959.346,344.273,3,4,Частичная,Гуманитарные,Лабораторное оборудование
10048.005,126.332,2,2,Отсутствует,Технические,Литература
19230.809,310.791,3,3,Малая,Технические,Литература
56100.878,518.087,4,4,Частичная,Гуманитарные,Лабораторное оборудование
50402.861,525.599,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
25729.238,372.309,4,3,Частичная,Гуманитарные,Лабораторное оборудование
7750.287,291.66,2,3,Малая,Технические,Лабораторное оборудование
46657.819,316.998,2,3,Малая,Технические,Лабораторное оборудование
45881.186,490.778,3,2,Частичная,Технические,Лабораторное оборудование
56226.298,471.269,4,4,Частичная,Гуманитарные,Лабораторное оборудование
19429.344,207.941,2,2,Отсутствует,Технические,Литература
55286.196,417.095,4,4,Частичная,Гуманитарные,Лабораторное оборудование
50339.646,372.818,3,2,Малая,Технические,Лабораторное оборудование
28578.01,212.575,2,2,Малая,Технические,Отсутствует
47518.546,546.514,3,3,Частичная,Технические,Лабораторное оборудование
52087.167,419.938,3,3,Частичная,Гуманитарные,Лабораторное оборудование
19351.701,281.872,2,2,Малая,Технические,Лабораторное оборудование
44873.8,425.678,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
36915.282,435.612,3,3,Малая,Гуманитарные,Лабораторное оборудование
8902.952,266.815,3,2,Малая,Гуманитарные,Литература
53625.305,416.676,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
20653.151,397.522,3,3,Малая,Технические,Лабораторное оборудование
59101.004,546.505,4,3,Частичная,Гуманитарные,Лабораторное оборудование
50311.225,413.067,3,3,Малая,Гуманитарные,Лабораторное оборудование
25316.658,303.447,2,3,Отсутствует,Технические,Литература
6080.01,219.714,1,2,Отсутствует,Технические,Литература
36176.299,330.258,4,3,Частичная,Гуманитарные,Лабораторное оборудование
69263.849,454.524,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
43841.083,457.5,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
8775.716,286.294,2,3,Малая,Технические,Лабораторное оборудование
22674.281,312.958,2,2,Малая,Гуманитарные,Лабораторное оборудование
49536.496,144.204,2,1,Отсутствует,Технические,Литература
44904.574,343.178,3,2,Частичная,Гуманитарные,Лабораторное оборудование
59315.544,487.703,4,4,Есть опытные образцы,Гуманитарные,Литература и оборудование
13710.496,284.898,2,3,Отсутствует,Технические,Литература
30997.059,408.512,4,3,Частичная,Технические,Лабораторное оборудование
47457.172,262.858,2,3,Малая,Технические,Лабораторное оборудование
49502.603,443.72,3,3,Частичная,Технические,Лабораторное оборудование
28647.558,254.263,2,2,Отсутствует,Технические,Лабораторное оборудование
25783.086,396.007,3,5,Частичная,Гуманитарные,Лабораторное оборудование
55148.082,396.164,3,4,Малая,Технические,Литература
27326.238,287.892,2,3,Отсутствует,Технические,Лабораторное оборудование
50134.645,375.295,3,4,Малая,Гуманитарные,Лабораторное оборудование
53097.722,404.472,2,3,Частичная,Гуманитарные,Литература
33979.787,302.472,3,2,Малая,Технические,Лабораторное оборудование
46710.416,334.739,3,3,Малая,Технические,Литература
39192.558,383.506,3,3,Малая,Технические,Лабораторное оборудование
59793.307,431.913,3,4,Малая,Технические,Лабораторное оборудование
32332.834,185.48,2,2,Отсутствует,Технические,Лабораторное оборудование
3728.573,346.501,3,3,Малая,Технические,Лабораторное оборудование
49186.98,452.238,4,3,Частичная,Гуманитарные,Литература
43521.816,366.616,2,4,Малая,Гуманитарные,Лабораторное оборудование
51370.912,497.008,4,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
14553.632,428.483,3,4,Малая,Гуманитарные,Лабораторное оборудование
28972.957,278.706,2,4,Отсутствует,Технические,Литература
36647.086,389.292,3,3,Малая,Гуманитарные,Литература
36137.273,385.041,4,2,Частичная,Гуманитарные,Лабораторное оборудование
7068.117,321.945,3,3,Малая,Технические,Отсутствует
14921.715,212.16,1,3,Отсутствует,Технические,Лабораторное оборудование
34168.143,420.132,3,4,Частичная,Технические,Литература
38561.01,479.544,4,5,Частичная,Гуманитарные,Лабораторное оборудование
17293.377,250.98,2,2,Отсутствует,Технические,Лабораторное оборудование
37452.322,251.565,3,2,Малая,Технические,Литература
34407.721,427.985,4,5,Частичная,Гуманитарные,Лабораторное оборудование
26329.819,262.852,3,3,Малая,Гуманитарные,Лабораторное оборудование
32713.311,407.949,3,4,Частичная,Гуманитарные,Лабораторное оборудование
13522.329,346.189,2,4,Малая,Гуманитарные,Лабораторное оборудование
38519.65,299.092,2,3,Малая,Гуманитарные,Лабораторное оборудование
37038.427,342.378,3,2,Малая,Технические,Лабораторное оборудование
61541.724,481.772,4,3,Частичная,Гуманитарные,Лабораторное оборудование
44061.411,439.237,4,2,Частичная,Гуманитарные,Лабораторное оборудование
36520.966,395.032,4,3,Частичная,Гуманитарные,Лабораторное оборудование
52985.827,412.863,3,3,Частичная,Гуманитарные,Лабораторное оборудование
18509.409,300.777,4,3,Частичная,Технические,Лабораторное оборудование
38196.618,423.685,2,2,Частичная,Технические,Литература
4085.294,305.595,3,3,Частичная,Гуманитарные,Лабораторное оборудование
26564.948,307.807,3,3,Частичная,Технические,Литература
69059.784,538.974,4,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
57147.029,544.945,4,5,Есть опытные образцы,Гуманитарные,Литература и оборудование
20596.869,323.725,3,3,Частичная,Технические,Лабораторное оборудование
18054.548,212.427,2,3,Малая,Технические,Литература
5294.879,131.528,2,2,Отсутствует,Технические,Литература
33056.318,256.627,2,3,Малая,Технические,Литература
58344.516,467.38,4,5,Частичная,Гуманитарные,Лабораторное оборудование
65251.788,393.012,4,4,Частичная,Технические,Лабораторное оборудование
49472.304,418.789,3,4,Малая,Гуманитарные,Лабораторное оборудование
12340.856,166.503,1,2,Отсутствует,Технические,Литература
66823.707,432.777,2,3,Малая,Технические,Литература
15457.01,250.469,3,3,Отсутствует,Технические,Лабораторное оборудование
7736.205,272.773,3,2,Малая,Технические,Литература
46219.721,383.431,3,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
28577.266,141.843,1,2,Отсутствует,Отсутствуют,Литература
63294.662,451.31,5,4,Частичная,Гуманитарные,Лабораторное оборудование
43144.721,373.291,2,4,Малая,Технические,Лабораторное оборудование
24011.349,385.819,3,3,Частичная,Гуманитарные,Литература
29190.3,351.984,3,2,Частичная,Технические,Литература
4600.604,203.088,3,3,Малая,Технические,Лабораторное оборудование
63918.407,432.346,3,2,Частичная,Гуманитарные,Лабораторное оборудование
30130.208,336.118,2,3,Малая,Гуманитарные,Лабораторное оборудование
53893.476,364.351,3,3,Малая,Гуманитарные,Лабораторное оборудование
9845.142,207.184,1,1,Отсутствует,Технические,Лабораторное оборудование
45719.487,336.888,3,3,Малая,Технические,Лабораторное оборудование
55776.575,457.494,4,4,Частичная,Гуманитарные,Лабораторное оборудование
24890.521,290.794,4,4,Частичная,Технические,Лабораторное оборудование
11755.045,345.161,3,3,Малая,Гуманитарные,Литература
58352.277,431.382,3,4,Частичная,Гуманитарные,Лабораторное оборудование
31923.875,377.454,2,2,Частичная,Технические,Литература и оборудование
47255.299,272.18,2,2,Малая,Технические,Лабораторное оборудование
62442.394,388.565,3,3,Малая,Технические,Лабораторное оборудование
24297.639,280.855,3,3,Малая,Гуманитарные,Лабораторное оборудование
28294.406,243.842,3,3,Малая,Гуманитарные,Литература
28886.661,355.106,3,2,Малая,Технические,Лабораторное оборудование
6932.292,328.462,4,3,Частичная,Гуманитарные,Литература
56186.705,349.49,2,2,Малая,Технические,Лабораторное оборудование
22348.916,357.323,2,3,Малая,Технические,Литература
5148.235,244.471,3,4,Малая,Технические,Лабораторное оборудование
51005.014,436.294,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
47440.394,305.837,3,4,Частичная,Гуманитарные,Литература
33631.453,258.808,2,3,Малая,Гуманитарные,Лабораторное оборудование
66195.678,519.549,3,4,Частичная,Гуманитарные,Лабораторное оборудование
65753.722,452.087,3,3,Малая,Гуманитарные,Лабораторное оборудование
57437.764,309.919,3,2,Малая,Технические,Литература
61309.703,600.0,4,3,Частичная,Гуманитарные,Лабораторное оборудование
62031.838,466.088,3,3,Частичная,Технические,Лабораторное оборудование
53925.8,246.865,3,3,Малая,Технические,Лабораторное оборудование
22854.813,251.836,2,2,Малая,Гуманитарные,Литература
38136.122,379.091,3,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
24700.004,364.135,4,4,Частичная,Гуманитарные,Лабораторное оборудование
5983.258,240.992,2,4,Малая,Гуманитарные,Литература
31548.942,333.272,2,4,Малая,Технические,Литература
7268.961,352.908,3,4,Малая,Технические,Лабораторное оборудование
21449.147,352.789,3,3,Частичная,Гуманитарные,Лабораторное оборудование
48148.551,465.678,3,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
11498.456,296.312,2,2,Малая,Технические,Лабораторное оборудование
65814.948,491.49,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
20623.692,200.324,2,3,Отсутствует,Технические,Литература
69976.58,419.902,3,4,Малая,Гуманитарные,Лабораторное оборудование
14153.746,215.297,2,3,Отсутствует,Технические,Литература
50762.018,487.011,4,3,Частичная,Гуманитарные,Лабораторное оборудование
14496.534,259.077,3,2,Частичная,Технические,Лабораторное оборудование
67031.943,498.511,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
19846.006,301.623,4,4,Малая,Гуманитарные,Лабораторное оборудование
47265.985,382.418,3,4,Малая,Гуманитарные,Лабораторное оборудование
38101.967,313.593,3,4,Частичная,Гуманитарные,Лабораторное оборудование
48152.114,473.584,4,4,Частичная,Гуманитарные,Лабораторное оборудование
44260.527,282.086,2,3,Отсутствует,Технические,Литература
46451.727,483.683,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
47707.028,396.757,3,2,Частичная,Гуманитарные,Лабораторное оборудование
10398.997,330.639,2,3,Малая,Гуманитарные,Литература
46739.375,403.043,3,2,Частичная,Технические,Лабораторное оборудование
45145.382,435.202,1,4,Малая,Технические,Литература
7804.3,184.942,3,2,Малая,Технические,Лабораторное оборудование
54037.162,404.33,3,2,Малая,Гуманитарные,Лабораторное оборудование
14071.754,244.95,3,2,Частичная,Гуманитарные,Литература
38064.723,415.738,4,3,Частичная,Гуманитарные,Лабораторное оборудование
65864.918,407.996,3,3,Частичная,Гуманитарные,Лабораторное оборудование
66604.194,557.695,4,4,Частичная,Гуманитарные,Лабораторное оборудование
47471.106,496.129,3,3,Частичная,Технические,Лабораторное оборудование
56763.988,309.364,2,3,Малая,Технические,Литература
3205.858,114.268,1,3,Отсутствует,Технические,Литература
22974.811,245.424,2,2,Малая,Технические,Лабораторное оборудование
32148.351,264.119,2,4,Отсутствует,Технические,Литература
20631.951,445.833,3,4,Частичная,Гуманитарные,Лабораторное оборудование
58828.182,406.027,4,2,Частичная,Гуманитарные,Лабораторное оборудование
7165.671,163.293,2,3,Отсутствует,Отсутствуют,Литература
14112.571,233.716,3,3,Малая,Гуманитарные,Лабораторное оборудование
19607.95,441.558,5,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
49051.6,397.859,2,4,Частичная,Гуманитарные,Литература
33561.759,358.52,4,4,Частичная,Технические,Литература и оборудование
47430.972,281.674,2,4,Малая,Технические,Литература
23256.344,220.426,2,2,Отсутствует,Технические,Литература
41344.966,339.474,3,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
66575.288,344.794,4,3,Малая,Технические,Лабораторное оборудование
50377.73,305.825,4,3,Частичная,Гуманитарные,Литература
48924.637,362.758,3,2,Частичная,Технические,Лабораторное оборудование
14166.23,291.002,3,3,Малая,Технические,Литература
19383.655,467.607,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
64836.155,451.966,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
69065.683,422.357,2,2,Малая,Технические,Литература
47160.127,257.387,3,1,Малая,Технические,Литература
41429.146,394.311,3,4,Частичная,Гуманитарные,Лабораторное оборудование
52772.573,320.551,3,3,Частичная,Технические,Лабораторное оборудование
16909.895,285.449,2,3,Малая,Гуманитарные,Литература
23979.392,271.588,3,3,Малая,Технические,Литература
36937.637,273.819,2,3,Малая,Гуманитарные,Лабораторное оборудование
68612.54,390.913,3,3,Малая,Гуманитарные,Лабораторное оборудование
66052.0,421.564,1,2,Малая,Технические,Лабораторное оборудование
20417.187,207.254,1,2,Отсутствует,Технические,Литература
30946.192,279.206,2,3,Отсутствует,Гуманитарные,Литература
32860.777,352.791,4,4,Частичная,Гуманитарные,Лабораторное оборудование
5213.804,288.598,4,3,Частичная,Технические,Лабораторное оборудование
22133.743,255.608,3,3,Частичная,Технические,Лабораторное оборудование
56451.818,404.349,3,3,Частичная,Гуманитарные,Лабораторное оборудование
17962.491,412.953,4,4,Частичная,Гуманитарные,Лабораторное оборудование
21147.32,369.578,4,3,Частичная,Гуманитарные,Лабораторное оборудование
34153.146,219.246,1,1,Отсутствует,Отсутствуют,Литература
25512.959,318.957,4,4,Частичная,Гуманитарные,Лабораторное оборудование
47223.445,444.399,3,4,Частичная,Технические,Литература
51809.783,456.428,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
67651.938,433.227,3,3,Малая,Технические,Лабораторное оборудование
59880.179,362.61,3,2,Частичная,Технические,Лабораторное оборудование
19963.527,167.002,2,3,Малая,Технические,Литература
21350.765,254.519,2,2,Отсутствует,Отсутствуют,Литература
14815.992,310.098,2,2,Малая,Гуманитарные,Литература
48701.839,285.61,3,3,Частичная,Технические,Литература
28795.427,369.927,4,3,Частичная,Технические,Лабораторное оборудование
32202.268,192.272,2,3,Отсутствует,Технические,Литература
36314.173,233.759,2,3,Малая,Технические,Литература
36164.954,353.037,2,4,Частичная,Технические,Лабораторное оборудование
33986.663,381.877,3,3,Малая,Технические,Лабораторное оборудование
57239.79,500.424,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
24326.931,330.807,2,3,Малая,Технические,Лабораторное оборудование
27940.014,286.329,3,3,Отсутствует,Технические,Литература
13558.76,213.826,2,3,Малая,Технические,Литература
13330.738,102.352,1,3,Отсутствует,Технические,Литература
32706.368,322.317,4,3,Частичная,Гуманитарные,Лабораторное оборудование
47720.004,370.355,2,3,Отсутствует,Технические,Литература
45050.305,452.243,4,3,Частичная,Технические,Лабораторное оборудование
62564.205,397.456,3,4,Частичная,Гуманитарные,Лабораторное оборудование
24221.154,347.028,3,2,Частичная,Технические,Литература
64836.011,503.558,3,4,Частичная,Гуманитарные,Лабораторное оборудование
27821.588,309.662,2,2,Частичная,Технические,Лабораторное оборудование
69489.454,285.19,2,1,Малая,Технические,Лабораторное оборудование
48071.063,336.05,3,3,Частичная,Гуманитарные,Литература
63022.485,337.744,3,3,Малая,Технические,Лабораторное оборудование
9939.358,210.731,2,3,Малая,Технические,Лабораторное оборудование
61495.98,494.391,3,4,Частичная,Гуманитарные,Литература
17911.791,336.364,3,3,Частичная,Гуманитарные,Литература
66798.648,404.602,4,5,Частичная,Гуманитарные,Лабораторное оборудование
18510.157,277.454,3,1,Частичная,Технические,Лабораторное оборудование
31086.76,403.005,3,5,Малая,Гуманитарные,Литература
24696.776,333.907,4,4,Частичная,Гуманитарные,Лабораторное оборудование
56306.47,310.177,3,4,Частичная,Технические,Лабораторное оборудование
44769.279,338.152,3,4,Частичная,Технические,Литература и оборудование
13357.804,370.931,2,3,Малая,Технические,Лабораторное оборудование
9937.558,354.646,3,2,Частичная,Технические,Лабораторное оборудование
63694.75,476.913,5,5,Частичная,Гуманитарные,Лабораторное оборудование
25295.765,341.065,4,3,Малая,Технические,Литература
15640.672,307.752,3,4,Малая,Гуманитарные,Лабораторное оборудование
49391.152,404.127,3,3,Частичная,Гуманитарные,Лабораторное оборудование
3846.938,204.889,2,2,Малая,Технические,Литература
51474.219,305.647,3,5,Частичная,Гуманитарные,Лабораторное оборудование
48815.974,451.49,5,3,Есть опытные образцы,Гуманитарные,Литература и оборудование
54109.651,461.555,3,2,Частичная,Технические,Лабораторное оборудование
24006.734,195.871,3,3,Отсутствует,Технические,Литература
68141.156,564.401,5,4,Есть опытные образцы,Гуманитарные,Литература и оборудование
55124.958,406.889,4,4,Частичная,Гуманитарные,Лабораторное оборудование
33083.051,484.459,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
40463.529,423.16,3,3,Частичная,Гуманитарные,Лабораторное оборудование
15677.423,422.185,3,3,Малая,Технические,Лабораторное оборудование
63087.13,461.615,4,4,Частичная,Гуманитарные,Лабораторное оборудование
21212.898,417.062,4,2,Частичная,Гуманитарные,Лабораторное оборудование
3302.639,279.068,2,4,Малая,Гуманитарные,Лабораторное оборудование
62505.338,317.913,2,3,Малая,Гуманитарные,Лабораторное оборудование
5516.719,155.589,2,1,Малая,Технические,Литература
24962.647,255.354,2,3,Малая,Гуманитарные,Литература
33320.775,173.483,3,2,Малая,Технические,Литература
55772.651,439.943,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
7139.48,194.899,2,2,Отсутствует,Технические,Литература
21557.39,322.357,4,3,Частичная,Технические,Лабораторное оборудование
57557.61,468.902,4,4,Частичная,Гуманитарные,Лабораторное оборудование
13357.926,326.576,4,3,Частичная,Гуманитарные,Лабораторное оборудование
66250.917,449.095,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
35128.308,381.266,3,4,Малая,Гуманитарные,Лабораторное оборудование
37620.756,374.151,3,2,Частичная,Гуманитарные,Лабораторное оборудование
9257.242,246.044,3,2,Малая,Технические,Литература
24491.16,123.42,2,2,Малая,Технические,Лабораторное оборудование
47236.519,403.431,3,3,Малая,Технические,Литература
9646.138,346.679,2,3,Малая,Технические,Лабораторное оборудование
57915.055,248.772,2,3,Малая,Технические,Лабораторное оборудование
68381.862,391.012,4,3,Частичная,Технические,Лабораторное оборудование
49981.666,393.604,4,3,Малая,Технические,Лабораторное оборудование
14325.676,230.464,2,3,Малая,Гуманитарные,Лабораторное оборудование
18934.523,297.882,3,4,Малая,Технические,Литература
65733.191,438.918,3,4,Частичная,Гуманитарные,Лабораторное оборудование
30823.484,334.746,3,3,Малая,Гуманитарные,Лабораторное оборудование
37358.416,183.544,2,2,Малая,Технические,Лабораторное оборудование
21608.078,255.079,2,2,Малая,Технические,Лабораторное оборудование
49830.238,299.864,2,2,Малая,Технические,Лабораторное оборудование
52036.432,471.466,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
61220.733,342.546,3,3,Малая,Технические,Лабораторное оборудование
30420.44,432.997,4,3,Частичная,Гуманитарные,Лабораторное оборудование
27792.199,346.31,3,4,Частичная,Гуманитарные,Лабораторное оборудование
5127.204,270.245,2,2,Отсутствует,Технические,Лабораторное оборудование
23463.475,139.095,1,2,Отсутствует,Технические,Литература
67146.857,357.556,3,3,Малая,Технические,Литература
52473.189,439.232,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
